Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Bandung Kulon,142755,0.49,5.6,20540,101.2
Babakan Ciparay,146483,0.49,5.75,19662,103.9
Bojongloa Kaler,123500,0.62,4.85,39583,102
Bojongloa Kidul,90755,0.79,3.56,17027,101.7
Astanaanyar,71053,0.69,2.79,24671,100.1
Regol,81995,0.62,3.22,17299,99
Lengkong,68624,0.62,2.69,12103,97.1
Bandung Kidul,62980,0.85,2.47,10359,100.3
Buahbatu,107518,1.2,4.22,14413,99.4
Rancasari,92203,1.71,3.62,12148,97.6
Gedebage,47030,2.13,1.85,4809,103
Cibiru,76538,1.05,3,11721,102.3
Panyileukan,42142,0.96,1.65,7621,101.4
Ujung Berung,98886,2.11,3.88,15847,100.3
Cinambo,26903,1.03,1.06,5913,104.6
Arcamanik,85868,1.86,3.37,14146,99.2
Antapani,85335,1.29,3.35,20270,97.3
Mandalajati,79339,1.85,3.11,15346,100.5
Kiaracondong,131860,0.7,5.17,22734,99.9
Batununggal,118711,0.48,4.66,22526,100.6
Sumur Bandung,35086,0.48,1.38,10350,100.7
Andir,99897,0.65,3.92,26926,99.3
Cicendo,95813,0.65,3.76,13926,100.2
Bandung Wetan,27600,0.48,1.08,8023,98.3
Cibeunying Kidul,111801,0.7,4.39,21542,100
Cibeunying Kaler,69861,0.7,2.74,15525,98.6
Coblong,113267,0.48,4.44,15265,101.5
Sukajadi,103465,0.48,4.06,24062,100.2
Sukasari,76967,0.48,3.02,12275,99.8
Cidadap,54867,0.7,2.15,8965,101.1
Bandung,2569102,0.87,100.8,15355,100.4
,,,,,
Catatan,,,,,
Hasil Proyeksi Penduduk Interim 2020–2023 (Pertengahan tahun/Juni)/The result of Interim Population Projection 2020–2023 (mid year/June) Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2021 (Juni)/ The growth rate refers to the change of the population in 2020 (September) to the population in 2021 (June) Luas Kecamatan diambil dari http://data.bandung.go.id,,,,,